#item	conf(x) (out of 1000 total sols)
edge18128	0.919000
edge3292	0.900000
edge3296	0.900000
edge13736	0.062000
edge26760	0.931000
edge1429	0.604000
edge22041	0.177000
edge19028	0.919000
edge25293	0.942000
edge464	0.915000
edge15048	0.911000
edge25982	0.963000
edge1226	0.084000
edge12546	0.945000
edge17869	0.897000
edge13545	0.905000
edge4227	0.936000
edge16388	0.905000
edge4295	0.007000
edge15106	0.930000
edge19294	0.875000
edge23727	0.910000
edge19509	0.929000
edge21748	0.903000
edge5909	0.906000
edge548	0.474000
edge9653	0.953000
edge12300	0.922000
edge20160	0.796000
edge8706	0.654000
edge17088	0.951000
edge2168	0.953000
edge12067	0.958000
edge22909	0.131000
edge26263	0.916000
edge14318	0.953000
edge7868	0.901000
edge10369	0.806000
edge14313	0.953000
edge22706	0.912000
edge19202	0.874000
edge21240	0.113000
edge14708	0.915000
edge15796	0.953000
edge6987	0.952000
edge22711	0.129000
edge14075	0.904000
edge10109	0.908000
edge21927	0.903000
edge18577	0.913000
edge5245	0.909000
edge16208	0.913000
edge5241	0.923000
edge9492	0.923000
edge15283	0.958000
edge5346	0.954000
edge3735	0.921000
edge3887	0.959000
edge19525	0.913000
edge289	0.661000
edge14633	0.925000
edge7165	0.892000
edge8084	0.953000
edge15640	0.955000
edge25824	0.876000
edge16512	0.900000
edge23376	0.749000
edge24410	0.904000
edge20853	0.963000
edge18154	0.915000
edge5423	0.892000
edge8534	0.916000
edge8532	0.947000
edge1354	0.903000
edge5939	0.918000
edge16105	0.920000
edge21877	0.104000
edge16773	0.811000
edge1869	0.900000
edge26103	0.174000
edge15032	0.952000
edge5945	0.908000
edge23208	0.911000
edge11670	0.910000
edge4494	0.953000
edge4490	0.942000
edge12436	0.762000
edge23806	0.904000
edge18706	0.924000
edge2080	0.897000
edge5723	0.909000
edge14820	0.822000
edge10859	0.913000
edge23618	0.906000
edge10288	0.245000
edge14357	0.914000
edge7909	0.917000
edge14454	0.905000
edge1769	0.907000
edge25602	0.912000
