sif_style	Annotation	count	etype	matchType	matchType	filenames
YMR080C (u) YGR119C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL178W (u) YNL243W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL243W (u) YNL178W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL135C (u) YDL140C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL140C (u) YDL135C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL141C (d) YDL103C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YBR009C (u) YDR330W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR330W (u) YBR009C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER105C (u) YPR049C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR049C (u) YER105C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR254C (u) YNR018W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNR018W (u) YBR254C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR240C (u) YPR141C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR141C (u) YGR240C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER013W (u) YPL240C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL240C (u) YER013W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR228C (u) YJL190C		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL190C (u) YDR228C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL209C (d) YCR002C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR224C (u) YOL070C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOL070C (u) YDR224C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBL002W (u) YIL002C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YIL002C (u) YBL002W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YNL154C (d) YPL203W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YER078C (u) YOR233W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR233W (u) YER078C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR082C (d) YNL071W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDL097C (u) YJL092W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL092W (u) YDL097C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR197C (u) YOR244W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR244W (u) YMR197C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR255CA (u) YDR514C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR514C (u) YBR255CA		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR457W (u) YNL030W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL030W (u) YDR457W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR404C (u) YER154W		1.0	ppi			rewired-BG-network-289_2_bgnet
YER154W (u) YDR404C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL123W (u) YNL182C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL182C (u) YGL123W		1.0	ppi			rewired-BG-network-289_2_bgnet
YAR018C (u) YBL035C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBL035C (u) YAR018C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR308C (u) YNL307C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL307C (u) YDR308C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR438CA (u) YNR024W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNR024W (u) YLR438CA		1.0	ppi			rewired-BG-network-289_2_bgnet
CDC14RD36 (d) YER008C		1.0			Constituent	NaCl_module_edges_Randomized_2
YCR028CA (u) YPL167C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL167C (u) YCR028CA		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL103C (u) YKL172W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL172W (u) YDL103C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR118C (u) YLR182W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR182W (u) YHR118C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL194C (u) YLR441C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR441C (u) YGL194C		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL018W (d) HOG1ID42		1.0			Shared_Interaction	NaCl_module_edges_Randomized_2
YDR091C (u) YDR177W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR177W (u) YDR091C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLL038C (u) YOR319W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR319W (u) YLL038C		1.0	ppi			rewired-BG-network-289_2_bgnet
SNR30 (u) YBR201W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR201W (u) SNR30		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR040W (d) YLR368W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YIL104C (u) YLR377C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR377C (u) YIL104C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR477W (d) YJR072C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YIL112W (u) YOR157C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR157C (u) YIL112W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL251C (u) YOR204W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR204W (u) YNL251C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR012W (u) YPL172C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YPL172C (u) YMR012W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YAR019C (u) YNR009W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNR009W (u) YAR019C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR056W (u) YNL245C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL245C (u) YLR056W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR135C (u) YPR158CC		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR158CC (u) YHR135C		1.0	ppi			rewired-BG-network-289_2_bgnet
YFR028C (u) YGR274C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR274C (u) YFR028C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL003C (u) YMR190C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR190C (u) YGL003C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR303W (u) YPR047W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YPR047W (u) YLR303W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YDL159W (u) YOR089C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR089C (u) YDL159W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL128W (u) YOL139C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOL139C (u) YIL128W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR365C (u) YPR019W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR019W (u) YDR365C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR027C (u) YIL004C		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL004C (u) YDR027C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL031C (u) YNL101W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YNL101W (u) YNL031C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YLR425W (u) YOL117W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOL117W (u) YLR425W		1.0	ppi			rewired-BG-network-289_2_bgnet
YER154W (u) YNL227C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL227C (u) YER154W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL206C (u) YJL204C		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL204C (u) YGL206C		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL030C (u) YIL133C		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL133C (u) YIL030C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL154C (d) YNL255C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YBR010W (u) YOL004W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOL004W (u) YBR010W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL166C (d) HOG1RA51		1.0			Shared_Interaction	NaCl_module_edges_Randomized_2
YGL180W (d) YOL018C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YGR120C (u) YKL014C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL014C (u) YGR120C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR082C (d) YPL140C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR507C (u) YOR117W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR117W (u) YDR507C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR093C (d) YOR123C		1.0	ubiquitination			rewired-BG-network-289_2_bgnet
YBR135W (d) YDR196C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR172W (u) YLR164W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR164W (u) YDR172W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJR059W (d) YHR023W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YER157W (u) YNL214W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL214W (u) YER157W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBL003C (u) YNL263C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL263C (u) YBL003C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR059C (d) YLR340W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YKL090W (u) YLR293C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR293C (u) YKL090W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR072W (u) YJL092W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL092W (u) YHR072W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL036W (u) YMR197C		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR197C (u) YJL036W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHL007C (d) YOR261C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YHL034C (u) YJL129C		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL129C (u) YHL034C		1.0	ppi			rewired-BG-network-289_2_bgnet
YML007W (u) YPL169C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL169C (u) YML007W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR293C (u) YML042W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YML042W (u) YDR293C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YOL100W (u) YOR165W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR165W (u) YOL100W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR135C (d) YMR116C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YFL044C (u) YOR229W		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR229W (u) YFL044C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER068W (u) YFL001W		1.0	ppi			rewired-BG-network-289_2_bgnet
YFL001W (u) YER068W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL061C (u) YOR259C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR259C (u) YIL061C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR113W (u) YLR116W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR116W (u) YLR113W		1.0	ppi			rewired-BG-network-289_2_bgnet
YER040W (u) YPR080W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR080W (u) YER040W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJR060W (u) YNL221C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL221C (u) YJR060W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL111W (u) YNL314W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL314W (u) YGL111W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL105C (u) YNL100W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL100W (u) YIL105C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL196C (u) YPL031C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL031C (u) YKL196C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR531W (u) YNL183C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YNL183C (u) YDR531W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YJR059W (d) YJR148W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YKL049C (u) YKR048C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKR048C (u) YKL049C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR190W (u) YJR112W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJR112W (u) YHR190W		1.0	ppi			rewired-BG-network-289_2_bgnet
YFL038C (u) YPL077C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL077C (u) YFL038C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR135C (d) YGR276C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
TTAGUH (u) YLR396C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR396C (u) TTAGUH		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL168W (u) YDR166C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR166C (u) YDL168W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJR059W (d) YER126C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YLR096W (d) YJL098W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YJL187C (d) YGR007W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR226W (u) YIL019W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL019W (u) YDR226W		1.0	ppi			rewired-BG-network-289_2_bgnet
YAL030W (u) YKL101W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL101W (u) YAL030W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBL002W (u) YER122C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER122C (u) YBL002W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL019C (u) YDL132W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL132W (u) YDL019C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR267W (u) YMR152W		1.0	ppi			rewired-BG-network-289_2_bgnet
YMR152W (u) YBR267W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLL013C (u) YLR245C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YLR245C (u) YLL013C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YHR197W (u) YNL229C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL229C (u) YHR197W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR113W (u) YNL272C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL272C (u) YGR113W		1.0	ppi			rewired-BG-network-289_2_bgnet
YCR059C (u) YPL077C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL077C (u) YCR059C		1.0	ppi			rewired-BG-network-289_2_bgnet
YER173W (u) YNL207W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL207W (u) YER173W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL038W (u) YML091C		1.0	ppi			rewired-BG-network-289_2_bgnet
YML091C (u) YKL038W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHR117W (u) YLL039C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLL039C (u) YHR117W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR322CA (u) YDR432W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR432W (u) YDR322CA		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL031C (d) YNL227C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YJR059W (d) YNL290W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR207C (u) YGR074W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR074W (u) YDR207C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR161W (u) YDR359C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR359C (u) YDR161W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR325W (u) YLR275W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR275W (u) YDR325W		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR208C (u) YKL067W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YKL067W (u) YBR208C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YCL059C (u) YKL052C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL052C (u) YCL059C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL307C (d) YNL178W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YER118C (u) YPR082C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR082C (u) YER118C		1.0	ppi			rewired-BG-network-289_2_bgnet
CYC38 (u) YER165W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YER165W (u) CYC38		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YJR019C (u) YNL053W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL053W (u) YJR019C		1.0	ppi			rewired-BG-network-289_2_bgnet
YAL010C (u) YPR135W		1.0	ppi			rewired-BG-network-289_2_bgnet
YPR135W (u) YAL010C		1.0	ppi			rewired-BG-network-289_2_bgnet
YHL007C (d) YHR098C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YBR160W (d) YPL181W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YGR218W (u) YOR351C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR351C (u) YGR218W		1.0	ppi			rewired-BG-network-289_2_bgnet
YHL033C (u) YKL110C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL110C (u) YHL033C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR470C (u) YIL149C		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL149C (u) YDR470C		1.0	ppi			rewired-BG-network-289_2_bgnet
NPR16 (d) YHR205W	Kinase	1.0			Constituent	NaCl_module_edges_Randomized_2
YDR333C (u) YJL053W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL053W (u) YDR333C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL141C (d) YGR140W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR261C (d) YBL085W		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YOR156C (d) YPL235W		1.0	ubiquitination			rewired-BG-network-289_2_bgnet
YFR004W (u) YLL039C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLL039C (u) YFR004W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL164C (d) CX59		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YHR082C (d) YMR129W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YBR200W (u) YLR043C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR043C (u) YBR200W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL050W (u) YKL009W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL009W (u) YIL050W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR157C (d) YGL112C		1.0	metabolic_pathway			rewired-BG-network-289_2_bgnet
YCR072C (u) YEL039C		1.0	ppi			rewired-BG-network-289_2_bgnet
YEL039C (u) YCR072C		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL164C (d) YMR167W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YGR130C (u) YNL255C		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL255C (u) YGR130C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBL022C (u) YJL036W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL036W (u) YBL022C		1.0	ppi			rewired-BG-network-289_2_bgnet
YFR010W (u) YJL185C		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL185C (u) YFR010W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL220C (u) YNL161W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL161W (u) YDL220C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR082C (u) YLR357W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR357W (u) YBR082C		1.0	ppi			rewired-BG-network-289_2_bgnet
YPL031C (d) YMR115W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YBR245C (u) YLR197W		1.0	ppi			rewired-BG-network-289_2_bgnet
YLR197W (u) YBR245C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL059W (d) YML088W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR155C (u) YML006C		1.0	ppi			rewired-BG-network-289_2_bgnet
YML006C (u) YDR155C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL230W (u) YLL039C		1.0	ppi			rewired-BG-network-289_2_bgnet
YLL039C (u) YDL230W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDL165W (u) YOR357C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR357C (u) YDL165W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR477W (u) YOR185C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR185C (u) YDR477W		1.0	ppi			rewired-BG-network-289_2_bgnet
YGL011C (u) YGR178C		1.0	ppi			rewired-BG-network-289_2_bgnet
YGR178C (u) YGL011C		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR363W (u) YOR058C		1.0	ppi			rewired-BG-network-289_2_bgnet
YOR058C (u) YDR363W		1.0	ppi			rewired-BG-network-289_2_bgnet
YIL004C (d) NPR17		1.0			Shared_Interaction	NaCl_module_edges_Randomized_2
YKL018W (u) YKR081C		1.0	ppi			rewired-BG-network-289_2_bgnet
YKR081C (u) YKL018W		1.0	ppi			rewired-BG-network-289_2_bgnet
YJL057C (d) YHR084W		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDL028C (d) YER116C		1.0	kinase_substrate			rewired-BG-network-289_2_bgnet
YDR172W (u) YKL078W		1.0	ppi			rewired-BG-network-289_2_bgnet
YKL078W (u) YDR172W		1.0	ppi			rewired-BG-network-289_2_bgnet
YDR404C (u) YNL061W		1.0	ppi			rewired-BG-network-289_2_bgnet
YNL061W (u) YDR404C		1.0	ppi			rewired-BG-network-289_2_bgnet
YBR140C (u) YPR034W		1.0	ppi			rewired-BG-network-289_2_bgnet
