#item	conf(x) (out of 1000 total sols)
edge7419	0.911000
edge8935	0.921000
edge15065	0.907000
edge13929	0.022000
edge15063	0.902000
edge18779	0.912000
edge25472	0.913000
edge10197	0.959000
edge1205	0.906000
edge23318	0.955000
edge20934	0.003000
edge13564	0.959000
edge20507	0.919000
edge9381	0.059000
edge26695	0.908000
edge25899	0.953000
edge10892	0.935000
edge4057	0.907000
edge2144	0.049000
edge9220	0.959000
edge15377	0.903000
edge18310	0.419000
edge15173	0.861000
edge10478	0.908000
edge20611	0.951000
edge320	0.898000
edge14337	0.946000
edge7966	0.004000
edge12443	0.861000
edge30	0.874000
edge19577	0.958000
edge8795	0.893000
edge8655	0.915000
edge19816	0.129000
edge5670	0.024000
edge26906	0.928000
edge668	0.919000
edge13613	0.906000
edge18221	0.455000
edge15877	0.902000
edge17194	0.865000
edge11279	0.891000
edge8432	0.902000
edge16303	0.961000
edge15898	0.923000
edge3567	0.876000
edge14617	0.895000
edge21230	0.868000
edge23528	0.906000
edge10017	0.925000
edge10012	0.916000
edge23489	0.911000
edge24438	0.093000
edge17128	0.045000
edge27025	0.923000
edge17121	0.899000
edge12875	0.914000
edge16124	0.105000
edge3283	0.955000
edge26494	0.910000
edge6167	0.003000
edge8191	0.903000
edge16455	0.900000
edge13976	0.920000
edge8582	0.949000
edge7427	0.120000
edge8424	0.910000
edge14838	0.965000
edge14664	0.040000
edge25990	0.873000
edge25100	0.920000
edge17976	0.953000
edge16397	0.918000
edge14843	0.883000
edge6782	0.876000
edge5352	0.891000
edge16155	0.913000
edge3216	0.910000
edge7921	0.952000
edge1891	0.901000
edge9067	0.069000
edge9187	0.918000
edge1025	0.867000
edge2196	0.943000
edge15473	0.910000
edge13652	0.171000
edge5771	0.908000
edge24965	0.950000
edge24964	0.861000
edge10863	0.060000
edge19746	0.956000
edge8768	0.915000
edge26	0.867000
edge10442	0.913000
edge10925	0.059000
edge14879	0.910000
edge4600	0.873000
edge14716	0.911000
edge9417	0.946000
edge3139	0.906000
edge11581	0.913000
edge17758	0.878000
edge21448	0.951000
edge25964	0.913000
edge9098	0.913000
edge11426	0.109000
edge11342	0.903000
edge23010	0.906000
edge17367	0.955000
edge1924	0.952000
edge485	0.905000
edge25799	0.949000
edge847	0.964000
edge1212	0.900000
edge20277	0.873000
edge15650	0.903000
edge1606	0.905000
edge3528	0.924000
edge20909	0.912000
edge21596	0.045000
edge15912	0.944000
edge1326	0.886000
edge26727	0.928000
edge14435	0.953000
edge3311	0.022000
edge22088	0.900000
edge6779	0.868000
edge16677	0.911000
edge13376	0.901000
edge23839	0.919000
edge17945	0.132000
edge16	0.543000
edge13051	0.901000
edge9287	0.912000
edge9325	0.171000
edge2801	0.913000
edge7913	0.458000
edge118	0.004000
edge17325	0.893000
edge2651	0.910000
edge17284	0.098000
edge1386	0.901000
edge21891	0.093000
edge583	0.950000
edge8865	0.953000
edge3687	0.916000
edge2777	0.956000
edge11410	0.918000
edge22302	0.907000
edge19439	0.911000
edge12847	0.855000
edge19436	0.901000
edge18942	0.919000
edge4846	0.905000
edge3350	0.891000
edge24211	0.955000
edge1951	0.900000
edge10735	0.920000
edge25358	0.882000
edge25357	0.906000
edge24459	0.866000
edge24455	0.905000
edge25595	0.888000
edge737	0.929000
edge2054	0.913000
edge16380	0.948000
edge2053	0.100000
edge1729	0.959000
edge25271	0.910000
edge5341	0.924000
edge20642	0.900000
edge12921	0.923000
edge3225	0.910000
edge19117	0.920000
edge14400	0.918000
edge24815	0.905000
edge11734	0.915000
edge1034	0.874000
edge9799	0.941000
edge8701	0.946000
edge26810	0.902000
edge22908	0.913000
edge5886	0.902000
edge19759	0.150000
edge14312	0.920000
edge3833	0.906000
edge13492	0.100000
edge2832	0.419000
edge3640	0.911000
edge12605	0.100000
edge6894	0.049000
edge16565	0.898000
edge7381	0.905000
edge20987	0.918000
edge5160	0.142000
edge15998	0.003000
edge24776	0.911000
edge11319	0.093000
edge3880	0.947000
edge2943	0.868000
edge2946	0.458000
edge24151	0.912000
edge17865	0.865000
edge16799	0.905000
edge7046	0.910000
edge11689	0.903000
edge14634	0.953000
edge26073	0.885000
edge10171	0.893000
edge25824	0.912000
edge10176	0.894000
edge23377	0.001000
edge18158	0.927000
edge1865	0.086000
edge13293	0.905000
edge7689	0.925000
edge3063	0.905000
edge21025	0.125000
edge22073	0.905000
edge4790	0.151000
edge23433	0.913000
edge11776	0.125000
edge15033	0.954000
edge25736	0.121000
edge24251	0.956000
edge5948	0.946000
edge23207	0.908000
edge8622	0.905000
edge13688	0.902000
edge2086	0.882000
edge9882	0.905000
edge2082	0.899000
edge13511	0.919000
edge15259	0.906000
edge14359	0.903000
edge26780	0.906000
edge13771	0.893000
